Epoch 107, Train Loss: 1.327428, Train Acc: 0.977273, Train Avg Acc: 0.881569, Test Loss: 1.457475, Test Acc: 0.922222, Test Avg Acc: 0.786052
Epoch 108, Train Loss: 1.333321, Train Acc: 0.968750, Train Avg Acc: 0.849296, Test Loss: 1.468530, Test Acc: 0.888889, Test Avg Acc: 0.753699
Epoch 109, Train Loss: 1.305651, Train Acc: 0.985795, Train Avg Acc: 0.937986, Test Loss: 1.524874, Test Acc: 0.877778, Test Avg Acc: 0.736052
Epoch 110, Train Loss: 1.308894, Train Acc: 0.988636, Train Avg Acc: 0.939980, Test Loss: 1.460258, Test Acc: 0.911111, Test Avg Acc: 0.768405
Epoch 111, Train Loss: 1.301888, Train Acc: 0.988636, Train Avg Acc: 0.939743, Test Loss: 1.455766, Test Acc: 0.922222, Test Avg Acc: 0.781127
Epoch 112, Train Loss: 1.340477, Train Acc: 0.971591, Train Avg Acc: 0.900479, Test Loss: 1.447444, Test Acc: 0.911111, Test Avg Acc: 0.768405
Epoch 113, Train Loss: 1.323597, Train Acc: 0.974432, Train Avg Acc: 0.930233, Test Loss: 1.583715, Test Acc: 0.833333, Test Avg Acc: 0.695900
Epoch 114, Train Loss: 1.325628, Train Acc: 0.982955, Train Avg Acc: 0.963327, Test Loss: 1.527449, Test Acc: 0.877778, Test Avg Acc: 0.746123
Epoch 115, Train Loss: 1.368218, Train Acc: 0.957386, Train Avg Acc: 0.915629, Test Loss: 1.545018, Test Acc: 0.855556, Test Avg Acc: 0.711052
Epoch 116, Train Loss: 1.350760, Train Acc: 0.957386, Train Avg Acc: 0.886430, Test Loss: 1.522249, Test Acc: 0.888889, Test Avg Acc: 0.758846
Epoch 117, Train Loss: 1.357610, Train Acc: 0.951705, Train Avg Acc: 0.809138, Test Loss: 1.542512, Test Acc: 0.866667, Test Avg Acc: 0.728699
Epoch 118, Train Loss: 1.330806, Train Acc: 0.968750, Train Avg Acc: 0.924923, Test Loss: 1.501716, Test Acc: 0.911111, Test Avg Acc: 0.763480
Epoch 119, Train Loss: 1.340570, Train Acc: 0.968750, Train Avg Acc: 0.897391, Test Loss: 1.543303, Test Acc: 0.866667, Test Avg Acc: 0.738993
Epoch 120, Train Loss: 1.330361, Train Acc: 0.968750, Train Avg Acc: 0.898016, Test Loss: 1.441012, Test Acc: 0.911111, Test Avg Acc: 0.768405
Epoch 121, Train Loss: 1.331346, Train Acc: 0.965909, Train Avg Acc: 0.945139, Test Loss: 1.565081, Test Acc: 0.866667, Test Avg Acc: 0.728922
Epoch 122, Train Loss: 1.327203, Train Acc: 0.980114, Train Avg Acc: 0.925271, Test Loss: 1.488815, Test Acc: 0.900000, Test Avg Acc: 0.766199
Epoch 123, Train Loss: 1.323542, Train Acc: 0.977273, Train Avg Acc: 0.955717, Test Loss: 1.506820, Test Acc: 0.888889, Test Avg Acc: 0.748552
Epoch 124, Train Loss: 1.305662, Train Acc: 0.982955, Train Avg Acc: 0.937733, Test Loss: 1.496809, Test Acc: 0.866667, Test Avg Acc: 0.723552
Epoch 125, Train Loss: 1.327255, Train Acc: 0.980114, Train Avg Acc: 0.957004, Test Loss: 1.466692, Test Acc: 0.900000, Test Avg Acc: 0.756127
Epoch 126, Train Loss: 1.312725, Train Acc: 0.980114, Train Avg Acc: 0.933292, Test Loss: 1.473940, Test Acc: 0.888889, Test Avg Acc: 0.743627
Epoch 127, Train Loss: 1.321479, Train Acc: 0.974432, Train Avg Acc: 0.921286, Test Loss: 1.461033, Test Acc: 0.922222, Test Avg Acc: 0.927496
Epoch 128, Train Loss: 1.317561, Train Acc: 0.980114, Train Avg Acc: 0.908304, Test Loss: 1.570015, Test Acc: 0.844444, Test Avg Acc: 0.617647
Epoch 129, Train Loss: 1.338263, Train Acc: 0.980114, Train Avg Acc: 0.925244, Test Loss: 1.495972, Test Acc: 0.877778, Test Avg Acc: 0.887567
Epoch 130, Train Loss: 1.314763, Train Acc: 0.985795, Train Avg Acc: 0.938840, Test Loss: 1.465997, Test Acc: 0.911111, Test Avg Acc: 0.763258
Epoch 131, Train Loss: 1.335266, Train Acc: 0.988636, Train Avg Acc: 0.963997, Test Loss: 1.552522, Test Acc: 0.888889, Test Avg Acc: 0.748775
Epoch 132, Train Loss: 1.303578, Train Acc: 0.982955, Train Avg Acc: 0.911061, Test Loss: 1.435611, Test Acc: 0.922222, Test Avg Acc: 0.770833
Epoch 133, Train Loss: 1.320658, Train Acc: 0.974432, Train Avg Acc: 0.978803, Test Loss: 1.480122, Test Acc: 0.888889, Test Avg Acc: 0.672794
Epoch 134, Train Loss: 1.320073, Train Acc: 0.974432, Train Avg Acc: 0.927803, Test Loss: 1.501074, Test Acc: 0.911111, Test Avg Acc: 0.834091
Epoch 135, Train Loss: 1.302783, Train Acc: 0.997159, Train Avg Acc: 0.972222, Test Loss: 1.502724, Test Acc: 0.888889, Test Avg Acc: 0.753476
Epoch 136, Train Loss: 1.310615, Train Acc: 0.982955, Train Avg Acc: 0.934551, Test Loss: 1.506649, Test Acc: 0.855556, Test Avg Acc: 0.716199
Epoch 137, Train Loss: 1.360069, Train Acc: 0.951705, Train Avg Acc: 0.882129, Test Loss: 1.613769, Test Acc: 0.866667, Test Avg Acc: 0.728922
Epoch 138, Train Loss: 1.307799, Train Acc: 0.982955, Train Avg Acc: 0.935195, Test Loss: 1.553937, Test Acc: 0.877778, Test Avg Acc: 0.736275
Epoch 139, Train Loss: 1.310674, Train Acc: 0.985795, Train Avg Acc: 0.962142, Test Loss: 1.504855, Test Acc: 0.888889, Test Avg Acc: 0.753922
Epoch 140, Train Loss: 1.332846, Train Acc: 0.971591, Train Avg Acc: 0.917954, Test Loss: 1.583243, Test Acc: 0.888889, Test Avg Acc: 0.738480
Epoch 141, Train Loss: 1.333706, Train Acc: 0.971591, Train Avg Acc: 0.953619, Test Loss: 1.701119, Test Acc: 0.844444, Test Avg Acc: 0.703922
Epoch 142, Train Loss: 1.316731, Train Acc: 0.974432, Train Avg Acc: 0.980265, Test Loss: 1.546706, Test Acc: 0.888889, Test Avg Acc: 0.748775
Epoch 143, Train Loss: 1.319429, Train Acc: 0.980114, Train Avg Acc: 0.958252, Test Loss: 1.578540, Test Acc: 0.888889, Test Avg Acc: 0.743627
Epoch 144, Train Loss: 1.313486, Train Acc: 0.980114, Train Avg Acc: 0.906781, Test Loss: 1.511100, Test Acc: 0.877778, Test Avg Acc: 0.812032
Epoch 145, Train Loss: 1.323604, Train Acc: 0.974432, Train Avg Acc: 0.954986, Test Loss: 1.639810, Test Acc: 0.888889, Test Avg Acc: 0.809314
Epoch 146, Train Loss: 1.308798, Train Acc: 0.988636, Train Avg Acc: 0.913580, Test Loss: 1.526765, Test Acc: 0.888889, Test Avg Acc: 0.814238
Epoch 147, Train Loss: 1.323638, Train Acc: 0.977273, Train Avg Acc: 0.931240, Test Loss: 1.549914, Test Acc: 0.877778, Test Avg Acc: 0.741422
Epoch 148, Train Loss: 1.308159, Train Acc: 0.985795, Train Avg Acc: 0.936702, Test Loss: 1.543455, Test Acc: 0.911111, Test Avg Acc: 0.758333
Epoch 149, Train Loss: 1.320514, Train Acc: 0.985795, Train Avg Acc: 0.938840, Test Loss: 1.438443, Test Acc: 0.911111, Test Avg Acc: 0.768627
Epoch 150, Train Loss: 1.297831, Train Acc: 0.988636, Train Avg Acc: 0.965809, Test Loss: 1.533181, Test Acc: 0.877778, Test Avg Acc: 0.741422
Epoch 151, Train Loss: 1.295380, Train Acc: 0.991477, Train Avg Acc: 0.942767, Test Loss: 1.553242, Test Acc: 0.866667, Test Avg Acc: 0.723775
Epoch 152, Train Loss: 1.305849, Train Acc: 0.980114, Train Avg Acc: 0.981445, Test Loss: 1.579165, Test Acc: 0.888889, Test Avg Acc: 0.733333
Epoch 153, Train Loss: 1.313130, Train Acc: 0.980114, Train Avg Acc: 0.959072, Test Loss: 1.529107, Test Acc: 0.866667, Test Avg Acc: 0.718627
Epoch 154, Train Loss: 1.323625, Train Acc: 0.968750, Train Avg Acc: 0.973441, Test Loss: 1.488191, Test Acc: 0.900000, Test Avg Acc: 0.761052
Epoch 155, Train Loss: 1.317631, Train Acc: 0.977273, Train Avg Acc: 0.954687, Test Loss: 1.598907, Test Acc: 0.866667, Test Avg Acc: 0.880214
Epoch 156, Train Loss: 1.317976, Train Acc: 0.980114, Train Avg Acc: 0.958252, Test Loss: 1.515510, Test Acc: 0.911111, Test Avg Acc: 0.768627
Epoch 157, Train Loss: 1.306624, Train Acc: 0.985795, Train Avg Acc: 0.937502, Test Loss: 1.580152, Test Acc: 0.866667, Test Avg Acc: 0.642647
Epoch 158, Train Loss: 1.321324, Train Acc: 0.977273, Train Avg Acc: 0.929909, Test Loss: 1.516813, Test Acc: 0.877778, Test Avg Acc: 0.877496
Epoch 159, Train Loss: 1.328479, Train Acc: 0.968750, Train Avg Acc: 0.871905, Test Loss: 1.504483, Test Acc: 0.922222, Test Avg Acc: 0.775980
Epoch 160, Train Loss: 1.310067, Train Acc: 0.985795, Train Avg Acc: 0.962196, Test Loss: 1.445595, Test Acc: 0.944444, Test Avg Acc: 0.795833
Epoch 161, Train Loss: 1.296559, Train Acc: 0.991477, Train Avg Acc: 0.967509, Test Loss: 1.529896, Test Acc: 0.900000, Test Avg Acc: 0.750758
Epoch 162, Train Loss: 1.305332, Train Acc: 0.980114, Train Avg Acc: 0.959531, Test Loss: 1.517957, Test Acc: 0.844444, Test Avg Acc: 0.703476
Epoch 163, Train Loss: 1.295050, Train Acc: 0.982955, Train Avg Acc: 0.911056, Test Loss: 1.488378, Test Acc: 0.888889, Test Avg Acc: 0.743627
